region.year.grant
DI Yogyakarta.2010-01-01.89.89529185
DI Yogyakarta.2011-01-01.17.5785617
DI Yogyakarta.2012-01-01.458.1358619
DI Yogyakarta.2013-01-01.542.9395466
DI Yogyakarta.2014-01-01.611.7709037
DI Yogyakarta.2015-01-01.695.6609405
DI Yogyakarta.2016-01-01.788.0716612
DI Yogyakarta.2017-01-01.624.8217331
DI Yogyakarta.2018-01-01.587.0355457
DI Yogyakarta.2019-01-01.638.9806844
DI Yogyakarta.2020-01-01.676.4725622
DI Yogyakarta.2021-01-01.878.4070442
DI Yogyakarta.2022-01-01.474.2776344
Jawa Barat.2010-01-01.156.0227456
Jawa Barat.2011-01-01.814.8471227
Jawa Barat.2012-01-01.6136.668844
Jawa Barat.2013-01-01.5838.135614
Jawa Barat.2014-01-01.6344.276084
Jawa Barat.2015-01-01.6826.862952
Jawa Barat.2016-01-01.10064.86132
Jawa Barat.2017-01-01.9533.373363
Jawa Barat.2018-01-01.8591.815722
Jawa Barat.2019-01-01.8802.612033
Jawa Barat.2020-01-01.9948.375516
Jawa Barat.2021-01-01.9774.239405
Jawa Barat.2022-01-01.3305.292221
Jawa Tengah.2010-01-01.68.26117224
Jawa Tengah.2011-01-01.104.3498053
Jawa Tengah.2012-01-01.3123.9115
Jawa Tengah.2013-01-01.3499.864177
Jawa Tengah.2014-01-01.2963.856035
Jawa Tengah.2015-01-01.3745.182609
Jawa Tengah.2016-01-01.5246.848624
Jawa Tengah.2017-01-01.4953.383282
Jawa Tengah.2018-01-01.5150.000984
Jawa Tengah.2019-01-01.5155.826081
Jawa Tengah.2020-01-01.5593.181623
Jawa Tengah.2021-01-01.5728.982384
Jawa Tengah.2022-01-01.2092.761565
Jawa Timur.2010-01-01.682.4068217
Jawa Timur.2011-01-01.1121.554739
Jawa Timur.2012-01-01.3865.45091
Jawa Timur.2013-01-01.5138.580999
Jawa Timur.2014-01-01.4947.402743
Jawa Timur.2015-01-01.5701.353956
Jawa Timur.2016-01-01.7436.283342
Jawa Timur.2017-01-01.6805.518
Jawa Timur.2018-01-01.8332.767679
Jawa Timur.2019-01-01.8576.571521
Jawa Timur.2020-01-01.9514.406649
Jawa Timur.2021-01-01.8988.623475
Jawa Timur.2022-01-01.5381.89116
